node_id,component_id,quantity
DEPOT_1,LRU_1_1,7
DEPOT_1,LRU_1_2,12
DEPOT_1,LRU_2_1,10
DEPOT_1,LRU_2_2,8
DEPOT_1,LRU_3_1,7
DEPOT_1,LRU_3_2,10
DEPOT_1,LRU_4_1,4
DEPOT_1,LRU_4_2,9
DEPOT_1,LRU_5_1,11
DEPOT_1,LRU_5_2,11
DEPOT_1,LRU_6_1,8
DEPOT_1,LRU_6_2,12
DEPOT_1,PART_2,62
DEPOT_1,PART_3,81
DEPOT_1,PART_4,109
DEPOT_1,PART_5,65
DEPOT_1,PART_6,85
DEPOT_1,PART_7,107
DEPOT_1,PART_8,73
DEPOT_1,PART_9,37
DEPOT_1,PART_10,68
DEPOT_1,PART_11,107
DEPOT_1,PART_15,80
DEPOT_1,PART_16,54
DEPOT_1,PART_17,59
DEPOT_1,PART_18,81
DEPOT_1,PART_19,43
DEPOT_1,PART_20,116
DEPOT_1,PART_21,79
SPEC_1,LRU_3_1,6
SPEC_1,LRU_3_2,3
SPEC_1,LRU_4_1,2
SPEC_1,LRU_4_2,2
SPEC_1,LRU_5_1,2
SPEC_1,LRU_6_1,3
SPEC_1,LRU_6_2,4
SPEC_1,PART_1,41
SPEC_1,PART_2,41
SPEC_1,PART_3,20
SPEC_1,PART_4,38
SPEC_1,PART_5,15
SPEC_1,PART_6,23
SPEC_1,PART_7,22
SPEC_1,PART_8,16
SPEC_1,PART_9,28
SPEC_1,PART_10,27
SPEC_1,PART_12,13
SPEC_1,PART_13,18
SPEC_1,PART_14,35
SPEC_1,PART_15,35
SPEC_1,PART_16,29
SPEC_1,PART_18,13
SPEC_1,PART_21,18
SPEC_1,PART_22,12
SPEC_2,LRU_1_1,4
SPEC_2,LRU_2_1,6
SPEC_2,LRU_2_2,4
SPEC_2,LRU_3_2,3
SPEC_2,LRU_6_1,6
SPEC_2,LRU_6_2,4
SPEC_2,PART_1,14
SPEC_2,PART_2,17
SPEC_2,PART_3,33
SPEC_2,PART_4,41
SPEC_2,PART_5,18
SPEC_2,PART_6,15
SPEC_2,PART_7,15
SPEC_2,PART_8,36
SPEC_2,PART_10,44
SPEC_2,PART_11,23
SPEC_2,PART_12,45
SPEC_2,PART_13,42
SPEC_2,PART_15,43
SPEC_2,PART_16,34
SPEC_2,PART_17,16
SPEC_2,PART_18,25
SPEC_2,PART_20,15
SPEC_2,PART_22,29
SPEC_3,LRU_1_1,2
SPEC_3,LRU_1_2,6
SPEC_3,LRU_2_1,4
SPEC_3,LRU_2_2,3
SPEC_3,LRU_3_2,6
SPEC_3,LRU_5_1,6
SPEC_3,LRU_5_2,3
SPEC_3,LRU_6_2,2
SPEC_3,PART_1,20
SPEC_3,PART_2,41
SPEC_3,PART_3,16
SPEC_3,PART_5,23
SPEC_3,PART_6,39
SPEC_3,PART_7,30
SPEC_3,PART_8,26
SPEC_3,PART_9,32
SPEC_3,PART_10,19
SPEC_3,PART_11,33
SPEC_3,PART_12,35
SPEC_3,PART_13,43
SPEC_3,PART_14,27
SPEC_3,PART_16,45
SPEC_3,PART_17,23
SPEC_3,PART_18,29
SPEC_3,PART_20,42
SPEC_3,PART_21,24
SPEC_3,PART_22,24
SPEC_4,LRU_1_1,5
SPEC_4,LRU_1_2,2
SPEC_4,LRU_3_1,3
SPEC_4,LRU_4_1,3
SPEC_4,LRU_5_1,6
SPEC_4,LRU_6_1,5
SPEC_4,PART_1,20
SPEC_4,PART_2,30
SPEC_4,PART_4,42
SPEC_4,PART_6,44
SPEC_4,PART_7,27
SPEC_4,PART_8,36
SPEC_4,PART_11,25
SPEC_4,PART_12,42
SPEC_4,PART_13,16
SPEC_4,PART_15,30
SPEC_4,PART_19,43
SPEC_4,PART_21,19
SPEC_4,PART_22,19
