node_id,component_id,quantity
DEPOT_1,LRU_2_2,11
DEPOT_1,LRU_3_1,12
DEPOT_1,LRU_3_2,8
DEPOT_1,LRU_4_1,6
DEPOT_1,LRU_4_2,5
DEPOT_1,LRU_5_1,12
DEPOT_1,LRU_5_2,7
DEPOT_1,PART_1,109
DEPOT_1,PART_4,68
DEPOT_1,PART_5,95
DEPOT_1,PART_6,63
DEPOT_1,PART_8,39
DEPOT_1,PART_9,48
DEPOT_1,PART_10,104
DEPOT_1,PART_11,46
DEPOT_1,PART_12,94
DEPOT_1,PART_13,61
DEPOT_1,PART_14,76
DEPOT_1,PART_15,70
DEPOT_1,PART_17,43
SPEC_1,LRU_1_1,4
SPEC_1,LRU_2_1,5
SPEC_1,LRU_2_2,6
SPEC_1,LRU_3_2,3
SPEC_1,LRU_4_1,3
SPEC_1,LRU_5_2,5
SPEC_1,PART_2,28
SPEC_1,PART_3,42
SPEC_1,PART_4,42
SPEC_1,PART_6,16
SPEC_1,PART_7,42
SPEC_1,PART_8,20
SPEC_1,PART_9,31
SPEC_1,PART_11,31
SPEC_1,PART_12,13
SPEC_1,PART_13,32
SPEC_1,PART_14,28
SPEC_1,PART_16,40
SPEC_1,PART_17,42
SPEC_2,LRU_1_1,5
SPEC_2,LRU_2_1,5
SPEC_2,LRU_3_1,5
SPEC_2,LRU_3_2,3
SPEC_2,LRU_4_1,4
SPEC_2,LRU_5_2,6
SPEC_2,PART_1,33
SPEC_2,PART_2,37
SPEC_2,PART_3,27
SPEC_2,PART_4,15
SPEC_2,PART_5,27
SPEC_2,PART_6,37
SPEC_2,PART_7,19
SPEC_2,PART_9,42
SPEC_2,PART_11,27
SPEC_2,PART_12,45
SPEC_2,PART_14,12
SPEC_2,PART_15,39
SPEC_2,PART_16,44
SPEC_2,PART_17,35
SPEC_3,LRU_1_2,2
SPEC_3,LRU_2_1,2
SPEC_3,LRU_2_2,3
SPEC_3,LRU_3_1,3
SPEC_3,LRU_3_2,6
SPEC_3,LRU_4_1,4
SPEC_3,LRU_5_1,6
SPEC_3,LRU_5_2,3
SPEC_3,PART_1,20
SPEC_3,PART_2,44
SPEC_3,PART_3,42
SPEC_3,PART_4,34
SPEC_3,PART_6,18
SPEC_3,PART_7,18
SPEC_3,PART_8,34
SPEC_3,PART_9,29
SPEC_3,PART_12,21
SPEC_3,PART_13,33
SPEC_3,PART_14,12
SPEC_3,PART_15,15
SPEC_3,PART_16,16
SPEC_3,PART_17,44
SPEC_4,LRU_1_1,6
SPEC_4,LRU_2_2,3
SPEC_4,LRU_3_1,2
SPEC_4,LRU_4_1,3
SPEC_4,LRU_4_2,4
SPEC_4,LRU_5_1,6
SPEC_4,PART_1,24
SPEC_4,PART_2,37
SPEC_4,PART_3,29
SPEC_4,PART_4,26
SPEC_4,PART_5,45
SPEC_4,PART_7,39
SPEC_4,PART_9,39
SPEC_4,PART_10,35
SPEC_4,PART_11,23
SPEC_4,PART_12,40
SPEC_4,PART_14,40
SPEC_4,PART_15,20
SPEC_4,PART_16,21
SPEC_4,PART_17,23
